timestamps,TP9,AF7,AF8,TP10,Right AUX
1744258515.048,-92.285,-44.434,-229.004,-60.547,-105.957
1744258515.051,-82.520,-45.898,-189.941,-46.387,-57.617
1744258515.055,32.715,-23.926,126.465,3.906,26.855
1744258515.059,46.875,-20.508,143.066,4.883,35.156
1744258515.063,-68.359,-43.457,-187.012,-45.410,-19.531
1744258515.067,-95.215,-42.480,-247.559,-52.734,7.812
1744258515.071,12.207,-26.367,65.918,-3.418,112.793
1744258515.075,53.711,-13.184,185.547,26.367,20.996
1744258515.079,-41.016,-27.832,-90.820,-24.902,-144.531
1744258515.083,-111.328,-44.434,-261.719,-64.453,-151.855
1744258515.087,-38.086,-30.762,-5.859,-22.461,-2.441
1744258515.091,56.152,-16.602,228.516,13.184,12.207
1744258515.094,4.883,-31.738,23.926,-40.039,-159.668
1744258515.098,-97.656,-51.270,-257.812,-74.707,-117.676
1744258515.102,-50.293,-38.086,-134.277,-34.668,30.273
1744258515.106,45.410,-18.555,172.852,-0.488,-8.301
1744258515.110,14.160,-19.531,89.355,-16.113,-82.520
1744258515.114,-93.750,-43.457,-230.957,-56.641,-48.828
1744258515.118,-101.562,-45.898,-199.707,-49.805,-28.809
1744258515.122,13.672,-16.113,130.371,-3.418,-7.812
1744258515.126,38.574,-14.648,156.738,-0.977,-69.336
1744258515.130,-67.383,-41.504,-163.086,-44.434,-115.723
1744258515.134,-109.375,-47.363,-237.305,-65.918,-44.922
1744258515.137,-19.531,-12.695,81.055,-15.625,49.316
1744258515.141,51.758,-0.488,223.633,-0.488,85.449
1744258515.145,-23.926,-20.996,-62.012,-51.270,-15.625
1744258515.149,-117.676,-35.156,-267.578,-62.012,-87.402
1744258515.153,-50.781,-21.973,-41.992,-33.203,-76.172
1744258515.157,45.898,-13.184,180.176,-0.488,-83.008
1744258515.161,-5.859,-17.578,25.879,-22.461,-138.184
1744258515.165,-104.980,-29.785,-243.652,-61.523,-121.582
1744258515.169,-70.801,-26.367,-135.742,-40.527,-33.203
1744258515.173,31.738,-10.742,170.410,-3.906,6.836
1744258515.177,22.949,-16.113,105.469,-9.766,-61.035
1744258515.180,-82.031,-39.551,-213.379,-55.664,-53.711
1744258515.184,-95.215,-36.621,-196.777,-56.641,-0.488
1744258515.188,16.113,-9.766,128.418,5.859,-16.602
1744258515.192,39.551,-13.672,165.039,8.789,-66.406
1744258515.196,-60.059,-36.621,-157.715,-43.945,-111.328
1744258515.200,-96.191,-36.133,-257.812,-36.621,-68.359
1744258515.204,-19.043,-20.020,29.297,-10.254,18.555
1744258515.208,48.828,-10.254,196.777,8.301,-36.133
1744258515.212,-26.367,-27.344,-50.781,-25.391,-87.402
1744258515.216,-103.516,-43.457,-272.949,-64.941,-39.062
1744258515.219,-36.133,-26.367,-63.965,-38.086,47.363
1744258515.223,55.176,-12.207,193.848,8.301,62.500
1744258515.227,3.906,-32.227,28.809,-18.066,18.555
1744258515.231,-104.004,-43.457,-247.070,-66.406,-76.172
1744258515.235,-83.008,-30.762,-141.602,-41.504,-52.734
1744258515.239,25.391,-20.508,151.855,5.859,-2.930
1744258515.243,33.203,-20.508,109.863,3.418,-135.254
1744258515.247,-76.172,-26.855,-193.359,-46.387,-101.562
1744258515.251,-93.750,-35.156,-217.773,-52.734,-31.738
1744258515.255,24.414,-23.438,86.914,4.883,5.371
1744258515.259,63.965,-14.648,164.062,4.395,47.363
1744258515.262,-39.551,-29.785,-120.605,-29.785,-26.367
1744258515.266,-95.215,-46.875,-252.441,-42.480,-83.496
1744258515.270,-5.859,-18.066,13.672,-28.809,31.250
1744258515.274,57.617,1.465,194.336,0.488,26.855
1744258515.278,-12.695,-14.648,-17.578,-32.227,-71.777
1744258515.282,-100.586,-29.297,-252.930,-66.406,-0.488
1744258515.286,-52.246,-21.973,-84.961,-34.180,14.160
1744258515.290,36.621,-13.672,178.711,5.371,-43.945
1744258515.294,8.789,-24.902,60.059,-17.090,-73.730
1744258515.298,-93.750,-40.039,-245.605,-62.500,-38.086
1744258515.302,-88.379,-37.109,-207.031,-48.828,-3.418
1744258515.305,19.531,-20.508,128.906,0.000,8.301
1744258515.309,24.902,-19.531,153.320,-8.301,-35.156
1744258515.313,-87.402,-38.574,-175.781,-56.641,-78.125
1744258515.317,-113.770,-41.504,-236.328,-67.383,-50.781
1744258515.321,-17.090,-22.461,75.195,-20.996,16.602
1744258515.325,34.180,-16.602,200.195,2.930,-2.930
1744258515.329,-55.664,-33.203,-78.125,-41.992,-80.566
1744258515.333,-118.652,-46.387,-253.418,-70.801,-47.363
1744258515.337,-39.551,-38.574,-19.531,-43.945,18.066
1744258515.341,45.898,-20.020,207.520,-6.348,46.387
1744258515.344,-8.301,-29.785,9.277,-33.691,-2.930
1744258515.348,-95.215,-56.641,-281.738,-80.566,-59.570
1744258515.352,-59.570,-41.504,-143.555,-48.340,-25.879
1744258515.356,25.879,-9.277,177.246,2.441,24.902
1744258515.360,11.719,-18.066,97.168,-17.578,-20.508
1744258515.364,-92.773,-46.875,-222.168,-63.477,4.883
1744258515.368,-100.098,-43.945,-205.566,-59.082,77.637
1744258515.372,17.578,-12.695,130.371,-16.113,160.156
1744258515.376,41.504,-10.254,178.223,4.883,92.773
